4769.97;11.72;4760.08;21.44
4719.13;7.78;4757.90;19.07
4736.07;21.52;4757.10;18.58
4727.60;5.28;4755.66;16.84
4710.66;8.86;4752.98;14.28
4803.86;6.85;4757.44;17.84
4803.86;9.79;4761.72;21.25
4761.49;25.35;4762.66;22.34
4744.55;2.00;4762.22;21.19
4753.02;19.04;4762.49;21.42
4769.97;4.29;4763.97;22.04
4769.97;12.87;4765.39;22.95
4769.97;10.26;4766.71;23.64
4761.49;6.41;4767.33;23.53
4769.97;15.18;4768.59;24.34
4753.02;16.73;4768.47;24.02
4744.55;3.66;4767.67;22.56
4753.02;16.66;4767.57;22.32
4753.02;6.26;4767.43;21.59
4736.07;17.49;4766.00;20.28
4744.55;17.24;4765.25;19.60
4710.66;20.08;4761.99;16.92
4710.66;15.56;4758.85;14.24
4761.49;6.82;4759.67;14.68
4769.97;15.30;4761.10;16.01
4769.97;8.26;4762.46;16.91
4769.97;15.10;4763.77;18.04
4786.91;11.78;4766.32;20.03
4786.91;15.05;4768.76;22.00
4769.97;12.74;4769.79;22.59
4761.49;9.66;4770.12;22.42
4702.18;13.26;4765.98;18.55
4710.66;16.97;4762.60;15.67
4727.60;-0.01;4760.62;13.35
4727.60;6.26;4758.70;11.45
4736.07;2.92;4757.48;10.08
4736.07;4.77;4756.30;8.88
4668.29;13.31;4750.04;3.74
4668.29;2.50;4744.02;-1.45
4744.55;20.09;4744.04;-0.49
4744.55;16.68;4744.09;0.31
4736.07;15.65;4743.52;0.49
4744.55;12.09;4743.65;1.11
4727.60;6.45;4742.49;0.35
4727.60;15.08;4741.41;0.09
4753.02;19.50;4742.33;1.74
4736.07;15.65;4741.96;2.05
4727.60;9.04;4740.98;1.52
4727.60;14.65;4740.06;1.29
4736.07;1.03;4739.82;1.08
4744.55;5.84;4740.23;1.64
4786.91;2.40;4743.84;4.78
4786.91;5.83;4747.31;7.83
4812.33;17.65;4752.57;12.81
4803.86;3.93;4757.00;16.28
4778.44;18.10;4759.35;18.46
4778.44;18.01;4761.59;20.45
4702.18;9.17;4757.99;16.95
4710.66;13.70;4755.16;14.46
4710.66;-1.98;4752.40;11.44
4710.66;17.12;4749.77;9.48
4744.55;3.47;4749.78;9.27
4744.55;10.25;4749.80;9.37
4761.49;-5.00;4751.06;9.88
4761.49;9.78;4752.29;10.97
4753.02;14.16;4752.83;11.62
4744.55;7.88;4752.70;11.41
4727.60;13.82;4751.32;10.38
4736.07;17.48;4750.64;10.15
4753.02;24.09;4751.29;11.36
4744.55;10.90;4751.30;11.40
4786.91;-3.57;4754.45;13.51
4786.91;14.19;4757.50;16.22
4727.60;11.81;4755.94;14.77
4736.07;6.79;4755.09;13.75
4761.49;2.48;4756.17;14.24
4744.55;4.77;4755.90;13.66
4744.55;2.40;4755.63;12.99
4753.02;11.64;4756.01;13.32
4744.55;6.88;4755.72;12.85
4744.55;11.32;4755.44;12.61
4761.49;16.07;4756.45;13.68
4769.97;7.36;4758.07;14.86
4727.60;9.78;4756.44;13.29
4719.13;18.61;4754.20;11.66
4761.49;9.66;4755.27;12.54
4761.49;9.13;4756.28;13.32
4719.13;12.72;4754.07;11.46
4710.66;11.24;4751.29;9.11
4719.13;15.11;4749.26;7.67
4727.60;12.23;4747.96;6.79
4744.55;1.42;4747.99;6.61
4744.55;7.02;4748.03;6.69
4778.44;32.13;4750.69;10.15
4778.44;15.09;4753.22;12.59
4761.49;-3.39;4754.38;12.93
4753.02;20.46;4754.88;13.76
4736.07;58.47;4754.14;15.12
4727.60;27.09;4752.83;14.60
4719.13;61.39;4751.00;15.12
4736.07;37.86;4750.59;15.84
4753.02;73.31;4751.59;19.32
4744.55;207.20;4752.25;28.10
4744.55;71.63;4753.01;30.80
4744.55;70.51;4753.75;33.26
4761.49;71.34;4755.89;36.93
4761.49;14.93;4757.91;37.87
4744.55;51.53;4758.73;39.40
4744.55;44.94;4759.38;40.38
4753.02;10.78;4760.63;40.34
4753.02;15.72;4761.73;40.42
4753.02;-19.71;4762.85;38.76
4744.55;26.51;4763.05;38.60
4761.49;29.68;4764.67;39.77
4761.49;29.69;4766.18;40.80
4753.02;9.38;4766.94;40.26
4753.02;-2.15;4767.59;39.13
4795.39;6.63;4771.33;41.12
4812.33;-12.22;4776.20;43.09
4786.91;11.53;4778.87;44.19
4786.91;-77.85;4781.17;41.09
4753.02;-28.98;4780.73;37.81
4744.55;6.54;4779.67;35.64
4812.33;13.18;4783.66;38.26
4829.28;-16.34;4788.71;40.36
4710.66;-74.88;4784.34;31.81
4719.13;-56.44;4780.67;24.75
4769.97;-17.52;4780.87;23.17
4769.97;-71.34;4780.88;19.19
4795.39;-71.86;4782.65;16.78
4795.39;-72.42;4784.21;14.10
4786.91;-38.43;4784.93;12.51
4795.39;-14.26;4786.22;12.51
4778.44;18.29;4786.19;12.79
4786.91;43.87;4786.87;14.81
4727.60;-26.22;4782.96;9.68
4727.60;-31.49;4779.11;4.63
4786.91;-15.46;4779.87;4.42
4786.91;-48.65;4780.49;2.73
4744.55;18.04;4777.93;1.24
4744.55;-58.29;4775.34;-3.54
4786.91;-65.97;4775.95;-5.74
4778.44;43.04;4775.97;-3.58
4769.97;-46.45;4775.28;-6.05
4769.97;-45.31;4774.54;-8.45
4753.02;-61.81;4772.43;-12.66
4744.55;-25.61;4769.75;-15.58
4769.97;-59.37;4768.99;-18.24
4769.97;-121.41;4768.05;-23.69
4769.97;90.87;4767.36;-19.33
4761.49;-7.93;4766.08;-20.02
4803.86;90.29;4768.27;-13.45
4803.86;-46.53;4770.28;-13.28
4795.39;-79.53;4771.46;-15.26
4778.44;79.30;4771.51;-11.20
4753.02;82.16;4769.79;-8.60
4753.02;100.89;4768.36;-5.14
4761.49;-2.83;4767.62;-5.69
4769.97;83.11;4767.72;-1.71
4761.49;35.93;4767.24;-0.50
4761.49;68.79;4766.92;2.28
4769.97;24.06;4767.29;3.55
4769.97;55.78;4767.75;6.21
4744.55;-3.75;4766.26;4.52
4744.55;19.88;4764.85;4.00
4702.18;136.05;4760.56;6.17
4702.18;102.19;4756.62;7.06
4769.97;2.93;4757.93;8.03
4769.97;101.59;4759.39;13.55
4710.66;-39.13;4756.21;8.59
4702.18;64.35;4752.63;8.07
4769.97;51.46;4754.37;11.48
4778.44;-31.42;4756.62;11.57
4727.60;-8.05;4754.90;9.28
4719.13;10.89;4752.63;7.45
4786.91;18.19;4755.56;10.46
4795.39;18.41;4759.06;13.86
4769.97;-5.90;4760.45;14.27
4769.97;-1.66;4761.77;14.77
4702.18;8.10;4757.91;11.22
4702.18;17.70;4754.20;8.37
4719.13;12.63;4751.92;6.65
4727.60;-18.13;4750.33;4.21
4753.02;6.38;4750.72;4.67
4736.07;8.55;4749.82;4.08
4769.97;-2.95;4751.51;5.24
4786.91;5.35;4754.42;7.77
4727.60;4.30;4752.73;6.20
4727.60;3.19;4751.10;4.69
4769.97;-18.12;4752.69;5.09
4761.49;29.55;4753.63;7.00
4744.55;11.11;4753.27;6.91
4761.49;9.00;4754.20;7.83
4769.97;21.26;4755.75;9.79
4761.49;20.54;4756.63;11.05
4778.44;212.29;4759.16;22.17
4778.44;169.03;4761.89;31.11
4719.13;481.41;4760.86;49.84
4719.13;720.16;4761.14;79.31
4693.71;457.61;4760.22;95.25
4693.71;192.07;4759.82;99.82
4778.44;53.85;4765.48;103.15
4778.44;-93.84;4770.67;99.38
4761.49;-202.01;4773.80;89.22
4769.97;-385.56;4776.65;70.25
4786.91;-350.62;4779.69;54.98
4786.91;-368.56;4781.86;38.38
4769.97;-343.10;4781.92;21.41
4778.44;-205.66;4782.16;11.69
4786.91;-73.61;4782.88;8.58
4786.91;27.03;4783.60;10.06
4769.97;-4.15;4782.98;8.96
4778.44;81.13;4783.19;12.44
4769.97;-29.32;4782.65;10.22
4769.97;35.23;4782.19;10.98
4786.91;3.19;4783.02;11.40
4803.86;-28.55;4785.02;11.44
4812.33;-39.93;4787.51;11.32
4795.39;-286.43;4788.04;-1.05
4761.49;-285.26;4785.43;-15.85
4778.44;-154.28;4783.89;-23.49
4761.49;-535.37;4780.08;-49.96
4753.02;-242.54;4775.42;-62.70
4753.02;95.39;4771.24;-59.60
4761.49;63.97;4768.09;-57.13
4727.60;262.84;4763.06;-47.28
4727.60;209.76;4758.79;-40.04
4786.91;364.16;4759.94;-21.39
4786.91;399.69;4761.86;-1.23
4744.55;130.78;4760.76;3.76
4753.02;88.88;4760.50;7.32
4778.44;39.39;4762.26;10.27
4786.91;111.55;4764.74;16.74
4786.91;94.52;4767.32;22.47
4769.97;92.35;4768.66;26.81
4769.97;25.05;4769.95;27.96
4778.44;-159.16;4771.47;21.13
4786.91;-21.64;4773.48;21.10
4786.91;5.65;4775.40;22.17
4744.55;2.16;4774.01;20.20
4736.07;29.58;4772.04;19.01
4761.49;11.53;4772.07;18.79
4769.97;0.87;4772.71;18.64
4693.71;25.64;4767.57;14.63
4693.71;11.08;4762.61;10.29
4753.02;6.44;4762.34;9.93
4753.02;-7.43;4762.04;8.96
4727.60;7.82;4759.83;7.05
4727.60;-5.40;4757.69;4.70
4769.97;0.68;4758.81;5.51
4778.44;33.82;4760.59;8.32
4769.97;-6.23;4761.63;8.62
4761.49;24.03;4762.03;9.69
4761.49;8.13;4762.42;10.00
4761.49;8.15;4762.79;10.28
4761.49;14.90;4763.16;10.85
4761.49;5.93;4763.52;10.99
4761.49;1.86;4763.83;10.91
4769.97;1.66;4764.76;11.35
4786.91;18.11;4766.94;13.57
4778.44;-5.31;4768.37;14.03
4753.02;10.96;4767.84;13.50
4744.55;-7.23;4766.64;11.61
4719.13;22.11;4763.57;9.49
4727.60;189.78;4761.63;15.83
4744.55;50.14;4761.12;17.01
4744.55;35.49;4760.64;17.48
4702.18;8.79;4756.98;14.03
4702.18;-3.67;4753.42;10.25
4753.02;31.76;4753.89;11.65
4753.02;23.42;4754.35;12.61
4753.02;-13.59;4754.76;11.86
4753.02;-11.44;4755.10;11.20
4761.49;5.69;4756.07;11.84
4769.97;-71.48;4757.49;9.43
4803.86;5.33;4761.41;12.66
4803.86;-3.75;4765.14;15.21
4753.02;16.67;4764.90;15.15
4753.02;31.47;4764.73;15.80
4761.49;35.35;4765.21;17.13
4761.49;20.91;4765.69;17.80
4795.39;11.79;4768.74;20.23
4795.39;-8.44;4771.61;21.52
4753.02;-6.68;4771.15;19.90
4753.02;15.85;4770.59;19.35
4803.86;-31.15;4773.86;20.06
4795.39;29.11;4776.45;22.79
4719.13;4.53;4773.06;19.19
4719.13;8.07;4769.80;15.99
4710.66;18.04;4766.01;12.91
4710.66;10.51;4762.39;9.76
4761.49;545.86;4763.75;34.16
4761.49;2663.70;4769.99;153.43
4685.24;1454.33;4772.94;214.16
4685.24;-383.98;4774.66;190.21
4761.49;-1426.86;4779.01;121.91
4761.49;-1387.86;4780.15;56.76
4795.39;-1120.47;4781.53;6.19
4812.33;-774.10;4782.50;-28.85
4820.81;-193.24;4783.85;-34.93
4820.81;-72.86;4784.99;-35.82
4736.07;200.85;4780.16;-29.90
4753.02;20.25;4776.84;-30.63
4761.49;164.81;4774.68;-23.82
4769.97;17.72;4773.36;-23.26
4786.91;119.26;4773.64;-16.83
4786.91;-16.34;4773.88;-16.68
4786.91;5.29;4774.18;-15.54
4795.39;-13.82;4775.10;-14.74
4803.86;-22.18;4776.63;-13.82
4803.86;-151.97;4777.82;-18.97
4795.39;-1390.83;4775.49;-82.93
4786.91;-4183.97;4765.08;-269.67
4820.81;-825.45;4756.24;-303.09
4837.75;1491.41;4752.60;-229.98
4744.55;2167.89;4746.46;-130.40
4736.07;60.29;4740.01;-127.78
4719.13;-367.50;4732.42;-145.26
4719.13;114.65;4725.46;-140.43
4702.18;-225.62;4717.29;-151.87
4719.13;-56.36;4710.72;-153.93
4744.55;-6.28;4706.60;-151.54
4753.02;17.63;4703.72;-147.24
4769.97;-4.31;4702.50;-142.67
4786.91;22.07;4702.79;-135.68
4727.60;28.19;4698.85;-132.32
4727.60;11.43;4695.56;-129.54
4753.02;24.02;4694.48;-124.29
4744.55;0.71;4692.90;-120.60
4702.18;1.31;4688.48;-119.57
4719.13;4.22;4685.75;-117.02
4795.39;8.97;4689.14;-109.10
4786.91;-7.19;4691.93;-102.72
4753.02;57.06;4692.25;-95.73
4761.49;-11.24;4693.43;-91.44
4727.60;-14.82;4692.12;-89.61
4744.55;24.10;4692.35;-84.81
4769.97;224.70;4695.10;-69.19
4778.44;-382.87;4697.67;-81.47
4795.39;33.79;4701.78;-73.34
4778.44;-30.71;4704.43;-69.53
4702.18;-1.60;4701.24;-69.54
4710.66;-0.85;4699.00;-68.75
4778.44;14.53;4702.20;-62.73
4761.49;15.97;4704.12;-57.97
4761.49;5.88;4705.98;-53.78
4769.97;5.02;4708.56;-49.22
4778.44;4.43;4711.82;-44.33
4769.97;0.78;4714.38;-40.39
4769.97;8.61;4716.92;-36.28
4769.97;7.14;4719.38;-32.39
4744.55;6.89;4719.92;-30.34
4744.55;15.21;4720.55;-27.98
4761.49;11.23;4722.48;-24.72
4753.02;6.43;4723.73;-22.36
4719.13;17.17;4722.41;-21.75
4719.13;12.18;4721.30;-21.36
4753.02;-0.12;4722.80;-19.24
4753.02;4.12;4724.28;-17.03
4744.55;8.58;4725.09;-15.24
4744.55;9.73;4725.97;-13.51
4778.44;13.14;4729.40;-9.46
4778.44;14.41;4732.74;-5.58
4753.02;21.51;4734.08;-3.26
4744.55;5.04;4734.75;-2.33
4778.44;6.05;4737.97;0.77
4778.44;10.02;4741.08;3.85
4736.07;5.37;4740.88;3.77
4736.07;8.98;4740.70;3.85
4710.66;8.67;4738.60;2.28
4702.18;11.69;4735.96;0.44
4761.49;7.97;4737.93;2.47
4744.55;20.13;4738.57;3.79
4761.49;15.68;4740.49;5.97
4761.49;-0.33;4742.33
